"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logFC","group","genesymbol","adj.P.Val"
"BTBD17",2.98530577281702,0.157651861947824,0.443355033108265,0.355588298710767,0.722148907922924,0.900798813136044,0.10927594361916,"High vs Low","BTBD17",0.900798813136044
"DXO",822.26372535747,0.190452962145814,0.0900442072438636,2.11510510198637,0.034420990486589,0.246677956258518,0.132011933740661,"High vs Low","DXO",0.246677956258518
"SKIV2L",3587.33644140194,0.194156860305052,0.0677718697896125,2.86485913562342,0.00417194781317043,0.0914953053052866,0.134579280306818,"High vs Low","SKIV2L",0.0914953053052866
"C9orf129",1.63888812944304,0.128436648121885,0.324053500692279,0.396343961251782,0.691851300550217,0.885595408770958,0.0890255005262541,"High vs Low","C9orf129",0.885595408770958
"NELFE",3848.01316266548,0.0644238172236179,0.0771207984355305,0.83536242531868,0.403513679155459,0.724319833614664,0.0446551872694599,"High vs Low","NELFE",0.724319833614664
"NXPE2",3.13283748197119,-0.537436310517267,0.322329723433078,-1.66734952269721,0.0954449247076564,0.396310576790926,-0.372522463365583,"High vs Low","NXPE2",0.396310576790926
"SPANXN5",0.189266401022541,-0.514594746401628,1.02631324816061,-0.501401250859717,0.616088759651207,NA,-0.356689897599248,"High vs Low","SPANXN5",NA
"ZBTB12",347.435508121004,0.329953845225984,0.118347730993156,2.78800313666398,0.00530340303137535,0.102158619880416,0.228706577533303,"High vs Low","ZBTB12",0.102158619880416
"SDHD",2982.96745714654,-0.0121093567939648,0.0741984197764142,-0.163202354315019,0.870359112586085,0.958335552754603,-0.00839356652013109,"High vs Low","SDHD",0.958335552754603
"EHMT2",3994.76703714488,0.246435201729125,0.0825898047119101,2.98384531345897,0.00284650637772634,0.0740175013949223,0.170815865269264,"High vs Low","EHMT2",0.0740175013949223
"XAGE1A",3.89580195458253,-0.386482426967542,0.325019157197426,-1.18910660620777,0.234397719108544,0.578168289333832,-0.267889204588517,"High vs Low","XAGE1A",0.578168289333832
"LAYN",511.401274154916,-0.0828600113538898,0.151113364689714,-0.548330132970231,0.583465240434307,0.832288202931288,-0.0574341832511138,"High vs Low","LAYN",0.832288202931288
"XAGE1B",6.93113065292776,-0.105764932981933,0.317103643637523,-0.333534272166332,0.73873102355283,0.908425288099375,-0.0733106650985386,"High vs Low","XAGE1B",0.908425288099375
"SLC44A4",7161.91385555867,-0.158273676142151,0.164496782324144,-0.962168827292134,0.335964805110192,0.669015554488752,-0.10970695237479,"High vs Low","SLC44A4",0.669015554488752
"NEU1",6325.29649966281,-0.125837193858535,0.100739436762833,-1.2491353724241,0.211615564908911,0.555738640504143,-0.0872236961326187,"High vs Low","NEU1",0.555738640504143
"C6orf48",5045.0375643953,0.143011803489092,0.100936675668273,1.41684677588449,0.156527730439935,0.489388630751438,0.0991282283752571,"High vs Low","C6orf48",0.489388630751438
