"","logFC","logCPM","PValue","FDR","group","genesymbol","adj.P.Val"
"CPE",-0.0724542293891819,7.52600318151163,0.736261942689603,0.903983667530054,"High vs Low","CPE",0.903983667530054
"XKR4",0.0982660882482533,0.0313570870395095,0.736274122724653,0.903983667530054,"High vs Low","XKR4",0.903983667530054
"ATXN7L1",0.0341342544992253,3.17664959478239,0.736623820858551,0.904354181473015,"High vs Low","ATXN7L1",0.904354181473015
"LEMD3",0.0215400410864805,5.15098540731423,0.736752652312563,0.904453506491698,"High vs Low","LEMD3",0.904453506491698
"SPATA17",0.0557701559381114,2.05460687171591,0.736992578152207,0.904601134208954,"High vs Low","SPATA17",0.904601134208954
"TMEM251",-0.0260527243220507,3.88087312602223,0.736997950158656,0.904601134208954,"High vs Low","TMEM251",0.904601134208954
"DFFA",0.0196045702639438,5.90607844004514,0.737016715513892,0.904601134208954,"High vs Low","DFFA",0.904601134208954
"PCTP",-0.0306683829022488,5.01160525452844,0.737129048731444,0.904663836166432,"High vs Low","PCTP",0.904663836166432
"PKN3",0.0331228709136715,3.88216045959647,0.737192509982568,0.904663836166432,"High vs Low","PKN3",0.904663836166432
"XK",-0.0653299002945746,2.97027296283055,0.737231415811251,0.904663836166432,"High vs Low","XK",0.904663836166432
"ARHGAP25",-0.0371144498211016,4.54268134071736,0.737259558921285,0.904663836166432,"High vs Low","ARHGAP25",0.904663836166432
"ZNF354C",0.039238916830546,2.61390176796837,0.737551056350214,0.904962677788354,"High vs Low","ZNF354C",0.904962677788354
"KLHL18",0.020470439716905,4.40178899647949,0.737667152536071,0.905046280183876,"High vs Low","KLHL18",0.905046280183876
"DRD3",-0.144309392073273,-4.41755493895728,0.7377455270193,0.905049149359587,"High vs Low","DRD3",0.905049149359587
"TDRD7",-0.0261408328905369,4.62980014245883,0.737793727212414,0.905049149359587,"High vs Low","TDRD7",0.905049149359587
"CDH23",0.0509725279636036,2.75371435636109,0.737813370449255,0.905049149359587,"High vs Low","CDH23",0.905049149359587
"C9orf50",0.0590019599036105,-1.48978953509453,0.737985022422187,0.905189025466647,"High vs Low","C9orf50",0.905189025466647
"CDK2AP2",-0.039410859141033,6.94051789281242,0.738023334525453,0.905189025466647,"High vs Low","CDK2AP2",0.905189025466647
"FLOT2",0.0212216752582549,7.47292380340642,0.738122798246347,0.905213290274593,"High vs Low","FLOT2",0.905213290274593
"ST3GAL2",0.0263009120890409,4.95376008320476,0.73813905520351,0.905213290274593,"High vs Low","ST3GAL2",0.905213290274593
"GREB1",0.0742308056164022,3.54853129807565,0.738334063348556,0.905393599938307,"High vs Low","GREB1",0.905393599938307
"CSF2",0.0791243005631223,1.35390699103197,0.738485514430505,0.905520477116183,"High vs Low","CSF2",0.905520477116183
"KRTAP10.3",0.21000582035632,-4.41824643250956,0.738542175161381,0.905531114772947,"High vs Low","KRTAP10.3",0.905531114772947
"ETV3L",0.0629206340914951,-3.70548486926817,0.738630141818389,0.90558013294275,"High vs Low","ETV3L",0.90558013294275
"ARHGAP24",0.0376838385374006,3.96184617836715,0.738724761356355,0.905601274250439,"High vs Low","ARHGAP24",0.905601274250439
"RP11.35N6.1",0.0848170532102428,2.73571779700754,0.738743363669719,0.905601274250439,"High vs Low","RP11.35N6.1",0.905601274250439
"TAPT1",0.0296449981277321,5.36130970082056,0.738884929567338,0.905715979595014,"High vs Low","TAPT1",0.905715979595014
"ZNF181",0.0263120412318511,3.25931637435892,0.738945170098,0.905730988887981,"High vs Low","ZNF181",0.905730988887981
"STS",0.0460453252802944,5.64525576738427,0.739317954808835,0.906120588711313,"High vs Low","STS",0.906120588711313
"CCDC42B",-0.083397514092377,1.44327036234186,0.739359060196959,0.906120588711313,"High vs Low","CCDC42B",0.906120588711313
"ZNF14",0.0302557750417374,3.19259527571102,0.7397568763756,0.906512552762998,"High vs Low","ZNF14",0.906512552762998
"MACC1",-0.0489213292926278,6.27515218955362,0.739808702388299,0.906512552762998,"High vs Low","MACC1",0.906512552762998
"EIF4A3",-0.0269312528206591,6.69573732666715,0.739829186136662,0.906512552762998,"High vs Low","EIF4A3",0.906512552762998
"DMGDH",0.0704603772007436,1.93492024436927,0.739871036916734,0.906512552762998,"High vs Low","DMGDH",0.906512552762998
"SERINC4",0.125167715679795,-4.4676885592638,0.739949948442365,0.906550378306555,"High vs Low","SERINC4",0.906550378306555
"SLC9A3R2",-0.0381285943548837,6.98918410395707,0.740083742125536,0.906627986663376,"High vs Low","SLC9A3R2",0.906627986663376
"PSIP1",-0.0299185601884407,5.82145347334401,0.740158240646716,0.906627986663376,"High vs Low","PSIP1",0.906627986663376
"TAS2R3",-0.0838698086420549,-3.68423605625526,0.740164066731844,0.906627986663376,"High vs Low","TAS2R3",0.906627986663376
