"","TCGA-44-7660","TCGA-97-A4M6","TCGA-97-7937","TCGA-62-A472","TCGA-49-6743","TCGA-64-1676","TCGA-86-8279","TCGA-97-A4M5","TCGA-55-8208","TCGA-95-A4VN","TCGA-86-8668","TCGA-NJ-A4YQ","TCGA-44-2661","TCGA-97-7553","TCGA-50-5068","TCGA-L9-A7SV","TCGA-NJ-A55R","TCGA-97-A4M7","TCGA-49-4514","TCGA-44-5643","TCGA-93-7347","TCGA-95-A4VK","TCGA-44-7667","TCGA-MP-A4TI","TCGA-55-6979","TCGA-44-6778","TCGA-86-8358","TCGA-38-6178","TCGA-49-4506","TCGA-97-8172","TCGA-O1-A52J","TCGA-49-AAQV","TCGA-53-7626","TCGA-97-A4M2","TCGA-50-5931","TCGA-L9-A743","TCGA-50-8457","TCGA-MP-A4T9","TCGA-44-7672","TCGA-97-8175","TCGA-55-8087","TCGA-97-A4LX","TCGA-55-8615","TCGA-49-6745","TCGA-49-AARQ","TCGA-97-A4M1","TCGA-83-5908","TCGA-97-8179","TCGA-44-3396","TCGA-53-7624","TCGA-L9-A50W","TCGA-86-7713","TCGA-49-AARE","TCGA-49-AAR0","TCGA-55-6980","TCGA-MP-A4SY","TCGA-49-6744","TCGA-86-8671","TCGA-49-4510","TCGA-97-8177","TCGA-50-7109","TCGA-78-8660","TCGA-97-7547","TCGA-49-6742","TCGA-50-5946","TCGA-86-8054","TCGA-MP-A4TD","TCGA-95-7944","TCGA-NJ-A4YF","TCGA-91-A4BD","TCGA-55-7994","TCGA-97-8171","TCGA-55-6642","TCGA-86-A4P8","TCGA-49-AARO","TCGA-J2-8192","TCGA-62-A46O","TCGA-86-A4JF","TCGA-L9-A8F4","TCGA-55-8507","TCGA-95-7948","TCGA-44-6148","TCGA-MN-A4N1","TCGA-49-4505","TCGA-50-5942","TCGA-J2-8194","TCGA-97-A4M0","TCGA-95-7567","TCGA-95-7947","TCGA-MP-A4TH","TCGA-97-7554","TCGA-49-AAR3","TCGA-44-A479","TCGA-4B-A93V","TCGA-38-4626","TCGA-55-6970","TCGA-55-1596","TCGA-62-A471","TCGA-86-A456","TCGA-MP-A4TF","TCGA-44-A47A","TCGA-NJ-A4YG","TCGA-93-A4JN","TCGA-50-5066","TCGA-49-AAR2","TCGA-86-8669","TCGA-MP-A5C7","TCGA-MN-A4N4","TCGA-50-6593","TCGA-55-7728","TCGA-55-8090","TCGA-55-8514","TCGA-62-A470","TCGA-55-8614","TCGA-97-8552","TCGA-55-8092","TCGA-55-6983","TCGA-44-7659","TCGA-55-7724","TCGA-55-7570","TCGA-55-A4DF","TCGA-55-7573","TCGA-MP-A4TA","TCGA-55-7907","TCGA-55-5899","TCGA-55-7574","TCGA-86-8073","TCGA-93-A4JP","TCGA-64-1678","TCGA-44-2657","TCGA-86-7953","TCGA-62-A46S","TCGA-55-8204","TCGA-50-5055","TCGA-44-6776","TCGA-86-8673","TCGA-44-A4SS","TCGA-55-8085","TCGA-64-1679","TCGA-55-8505","TCGA-55-8621","TCGA-44-3398","TCGA-05-4417","TCGA-55-8096","TCGA-99-7458","TCGA-55-6986","TCGA-44-6145","TCGA-99-8025","TCGA-86-7711","TCGA-86-8075","TCGA-86-7955","TCGA-86-A4P7","TCGA-64-5774","TCGA-64-1680","TCGA-50-5044","TCGA-55-7903","TCGA-55-8508","TCGA-55-A4DG","TCGA-55-7726","TCGA-05-4430","TCGA-55-8513","TCGA-05-4420","TCGA-62-A46P","TCGA-62-A46V","TCGA-55-6987","TCGA-55-7281","TCGA-44-2655","TCGA-86-8674","TCGA-L4-A4E6","TCGA-05-4427","TCGA-55-8301","TCGA-55-8510","TCGA-55-8302","TCGA-05-4405","TCGA-55-6971","TCGA-55-A48Z","TCGA-05-5428","TCGA-55-8097","TCGA-99-8028","TCGA-86-7701","TCGA-44-7670","TCGA-05-4249","TCGA-55-A492","TCGA-S2-AA1A","TCGA-55-8091","TCGA-55-8206","TCGA-55-8094","TCGA-05-4382","TCGA-44-7661","TCGA-55-8205","TCGA-55-7283","TCGA-55-A48Y","TCGA-55-7995","TCGA-44-3919","TCGA-55-7725","TCGA-L9-A5IP","TCGA-55-8619","TCGA-55-7227","TCGA-55-6543","TCGA-55-6982","TCGA-50-5045","TCGA-05-4398","TCGA-55-A57B","TCGA-55-8207","TCGA-55-7576","TCGA-55-A494","TCGA-44-7671","TCGA-44-6774","TCGA-50-6594","TCGA-55-A491","TCGA-95-8039","TCGA-86-8076","TCGA-44-2659","TCGA-55-8203","TCGA-44-3917","TCGA-64-5778","TCGA-55-7815"
"HAND2","   0","  26","   2","   2","   0","   0","   3","   0","   0","   0","  11","   0","   1","   3","   3","   1","   1","   8","   0","   0","   2","   0","  11","  28","   0","   1","  21","   5","   1","   4","   1","   1","   1","   2","  45","   2","   1","   0","   3","   2","   1","   4","   0","   2","   1","   1","   0","   1","  42","  51","   0","   1","   2","   0","  24","   2","  10","  19","   0","   4","   6","   0","   6","   0","   0"," 104","   1","   0","   0","   1","   0","   4","   4","   7","   5","   8","   1","   0","   2","1541","   2","   0","   0","   7","   2","  15","   0","   0","   0","   5","   1","   0","   1","   2","   0","   1","   0","   0","   0","   0","   3","   0","   5","   0","   2","   0","   0","   1","   2","   2","   0","   3","   0","   0","   2","   0","   3","   0","   0","   0"," 127","   0","   1","   0","   1","   0","   1","   9","   0","   1","   1","   0","   2","   0","   1","   2","   0","   0","   2","   4","   3","  11","   1","   5","   7","   0","   0","   2","   0","   5","   3","   3","   1","   0","   2","   0","   2","   0","   3","  12","   2","   1","   0","   1","   0","  14","   0","   0","   0","   0","  23","   0","   0","   6","   0","   0","   0","   3","   3","   0","  11","   2","   2","   0","   1","   3","   0","   4","   2","   4","   0","   2","   6","   0","   0","   3","   3","   3","   0","   0","  15","   2","   0","  21","   0","   0","  12","  83","   0","   3","   0","   0","   1","   0","  12","   0","   2"
"FABP7","  295","   21","    0","    8","    1","   25","    2","    4","   61","   43","    0","    3","    5","   12","    0","    0","    1","   11","    7","    0","    4","   25"," 2256","    0","   13","  108","    0","    1","   41","    1","   10","  206","    3","    4","66916","   70","    7","    7","    5","   19","    0","   35","    5","    2","    2","    0","   14","   22","   11","  558","   15","    4","   15","    7","    7","   48","    4","   12","    1","    4","    2","    2","    0","    3","    1","   14","    4","    0","    4","    2","    1","    3","   13","    1","    2","   20","    0","   26","    1","   49","    1","    6","    1","    7","    1","  234","    7","    5","    4","    1","    0","    0","   11","    8","  163","  132","    1","    2","    7","    2","    3","    4","    5","    9","    3","    2","    1","    0","    5","    0","   39","    4","    3","    7","    1","    0","    7","    9","    9","    2","    3","    6","    7","    1","    0","    2","    3","   26","    5","    1","    0","    0","    2","    1","    0","    8","    1","    0"," 2792","    3","    4","   10","    7","    6","   16","    0","   28","    6","    1","    3","    4","  130","    3","    7","    5","    2","    0","   61","    0","   17","   22","   47","    0","    4","   49","    4","    1","    1","   17","    7","    6","    0","    3","    2","   39","    4","   19","    0"," 6744","    5","    2","   13","    1","    2","    3","    1","    0","    1","    9","    6","    4","    1","    1","  115","    2","    0","   16","    6","    0","    0","   10","  126","    4","    4","    1","    0","    2","    5","    0","    9","   72","   95","    0","   12","    1","   23","    0"
"DACT2","   69","  910","  146","    2","    9","    6","   28","  325","  267","   12","   12","   19","  467","  223","   14","   18"," 2347","  697","  262","  577","  987","  794","  100","   11","  168","  114","  178","   50"," 6636"," 2772","  615","   79","  198","  385","   12","   26"," 1163","   68","  129","   14"," 1907","   57"," 1324","   18","  126"," 1578","    4","   30","   10","10860"," 2317"," 1450","    8"," 1598","   16","   19","   64","  295"," 2171","  751","  364","   13"," 1360","  435","    8"," 1762"," 5325"," 1166"," 1013","   12","    2"," 6233","  409","  691","   38","   94"," 5343","   21","  212"," 3553","   10","  685","  105","   13","  176","  332","  918","    1","  327","  599","    9","    4","  481"," 5763","   59","  526"," 3086"," 1249","   36","    5"," 1815","  938","  184","    1"," 3797"," 7077"," 1890","    9","   46"," 1478","   32","  325","  850","  568","  220","   10"," 2391","   49","   29","  412","   44","  630","  376","   32","  298","   63","  136","  509","  667","  343","  125"," 1420","  235","   82","  489","    5","    8","  469","    2","  262","  275","   26","  511","  362","   76","   30","    4","   74","    5","  236","    9","  127","  705","    2","    0","    9"," 1534","  320","    3","   62","   49","  260"," 1547","    4","   57","    7","  148","  307","   99","    3","  168","   45","   21","   39","  260","  282","    0","  256","   28","  281","  601","  386","  374","   13","   12"," 5019","  521","   61","   18","   30","   60","   30","  590","  448","  138","   75","   68","   30","    8","   15","   66","   39","   26","  196","   79","  807","  167","  360","    3","  731","  176","  153","  485"," 1740","  119","  241","   26"
"DEFA5","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    1","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    1","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    9","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   34","    0","    0","    0","    0","    0","    0","43491","    0","    0","    0","    0","22396","    1","    0","    0","  128","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    6","    0","    0","   53","    2","    0","    0","    0","    0","    0"
"TAC3","   5","   7","   6","   9","   1","   0","   2","   5","  12","   6","   3","   2","   0","   1","   1","  14","  23","  14","   1","   2","   8","   3","   4","   2","   3","  14","   0","   0","   1","   1","   5","   3","   4","   2","   1","   1","   1","   1","   0","   1","   3","   3","   3","   2","   4","   8","   0","   1","   2","6362","   0","   8","  98","   2","   0","   5","   0","   2","   2","   7","   1","   1","   0"," 105","   3","   2","   1","  10","   0","   1","   1","   1","   1","   3","   6","   1","2402","   0","   3","   3","   6","   5","  27","   2","   0","   0","  16","   2","  20","   3","   1","   2","   0","   1","   2","   0","  11","   4","  10","   0","  20","   3","   2","   0","   4","   3","   2"," 531","   0"," 334","   0","   4","   5","   2","   0","   1","   0","   1","   0"," 135","   6","   1","  12","   1","   3","   1","   2","   1","   0","   6","   1","   0","   1","   1","   0","   2","   4","   1","   6","  22","   3","   2","   0","   5","   2","   0","   1","   0","  31","   1","   3","   3","   1","   0","   1","   3","   1","   3","   0","   1","   5","   0","   0","  25","   2","   0","   1","   0","   0","   1","   4","   1","   6","   1","   0","   1","   1","   1","   3","   0","  49","   0","  17","   5","   0","   0","  39","  24","   1","   0","   1","   8","   4","   2","   0","   1","   2","   0","   0","   3","   2","   0","  61","   0","   2","   0","   0","   0","   3","   2","   7","   2","   1","   2","   0","   0","   0"
"UGT1A6"," 1617","  491","    1","    0","    6","    0","    0","   33"," 1313","   13","    2","    1","   17","   53","    8","    0"," 1588","   15","  454","  372","  157","    0","    0","    3","    0","    2","   76","  112"," 2614","    4","    1","   17","    5","   19","  198","   22","   17","    2","   13","   18","    1","    2","    2","    5","  743","    3","    7","  594","    3"," 4696","   32","    1","    3"," 1352","    7","   65","   26","    5","    1","   25","    0","    0","    1","    8","   39","    0","  967","   19","    0","    4","    5","   23","    0","    5","   30","   34","    5","    7","    2","    1","   45","   41","    2","   15","    6"," 5129","    3","    1","    3","    0","    4","  292","    1","    1","   15","    6","    4","  293","    6","    0","  102","   31","   17","  172","  723","    7"," 1591","    0","   20","   11","    4","    2"," 1335"," 1596","   38","   61","   85","    7","  260","  224"," 2066","   16","  360","   11"," 9553","    6","   48","    0","  669","  455","    5","    3","  379","   48","  714","    0"," 2617"," 9222"," 2157"," 4876","   19","   11","    2","  139","   52","    1"," 2940","   95"," 3018","    2","    0","    2","    0","   10","    2","    2","    5","    3","  223","   47","  118","    0","    0","    7"," 2020","    0"," 7167","    4","    0","    1","    0"," 2352","    1","    6","   38","    1"," 3939","    4","   17","    1","13571","   13","   64","  468","  256","    4","    2","    1","    2","    2","    4"," 3233"," 4035","    3","    2","  647","   25","    3","    0","   19","   16","    6","   14","    2","    3","    1"," 1358","    1","    0","    9","   33","  210","    5","    1","  386","    5","    3"
"KLK13","  384","   15","   60","   58","   34","    6","    5","  128","   30","   27","   10","    2","  136","   65","   19","    1","  487","  103","   22","  125","   81","    0","  714","    5","   49","   22","  173","   19","    4","  170","  249","   46","   42","   33","   16","   72","  136","   41","   10","    7","  172","  114","  507","   33","   17","   40","    2","    6","    8","   40","   72","  593","   29","  126","   41","   17","  125","   16"," 1858","   94","   60","    5","   51","   65","   16","   49","  595","   23","  560","   41","    2","    2","  226","   29","   63","   14","    7","    4","   98","  894","  150","   56","   21","   26","   90","   31","  193","    9","   12","   11","    9","    3"," 4021","    0","   44","   20","   37","   67","    2","   23","   41","  202","    7","    1","   44"," 2124","  393","    5","   19","  150","    6","    3","   14","  502","  294","   12"," 1611","   21","  487","   11"," 2806","    9","   15","  113","    4","    3","   97","   23"," 6437","   63"," 1879","   37","  630","  113","   12","  309","    2","    0","   23","   17","   80","   42","  550","  181","   74","   13","    1","   25","    3","    8","    2","   28"," 1506","  146","    5","    4"," 2278","    9","    0","   28","   28","30865","  375","   30","   18","  129","   36","  460","    5","    0","    5","    4","    0","    6","  256","   20","    1","   63","   15","  377","  100","  132","   18","   14","    9","  164","  184","   35","    4","   16","  157","   22","  433","   20","    0","    1","   85","    6","    3","   13","   18","   59","    8","   46","    4"," 1083"," 3931","  231","   23","    1","   48","  291","   10","13113","   54","    9","  232"
"KRT24","   1","   0","   0","   2","   0","   1","   0","   0","   2","   0","   0","   0","   1","  10","   0","   7","   7","  12","  49","   4"," 543","   0","  39","   0","   2","   0","  17","   0","   0","   2","  64","   8","   3","   0","   0","   9","   4","   0","   0","   2","   0","   5","  61","   2","   2","   3","   0","  25","   0","1067"," 123","   1","   0","   2","   4","   2","   0","   0","  31","  10","   2","   2","   0","   0","   0","   1","   0","   3","   9"," 129","   0","  16","   0","   1","   0","   1","  11","   0","   0","   9","   0","   3","   0","   5","   0","   5","   3","   0","   0","   0","   1","   1","  21","   0","  12","   3","   0","   3","  31","   0","   0","   0","   1","   0","   6","  24","   1","   0","   1","   0","   4","   0","   0","   3","   0","   0","   4","   1","   1","   0","   1","   2","   0","   0","   0","   2","   4","   2","   4","   1","   1","   1","   0","   0","   0","   0","   0","  10","   3","   0","  17","   3","   7","   2","   6","   0","   0","  45","   0","   2","   0","   6","   7","   0","   2","   2","   1","   2","   1","   0","   1","   3","   0","   0","   1","   9","   6","   0","   1","   0","   2","   4","  61","   0","   2","  12","   0","   1","  10","   5","   1","   0","   2","   0","   1","   0","   3","  10","   2","   0","   1","   0","   3","  11","   1","   2","   1","   1","   1","   0","   4","  24","   5","   1","   0","   2","   0","  10","   1","   0","   4","   4","   4","   1","   1","   0","   0"
"KCTD19","  23","  38","  36","  30","   9","  11"," 336","  15","  41","  16","   3","  13","  20","  12","   8"," 378"," 156"," 146","   3","   1","  60","   8","  43","  20","  11","  33","  53","   6","  23"," 130"," 465","  40","  12"," 109","  60","  17","  29","  38","   1","   3"," 217","  63","  24","   5","   7"," 247","  12","  52","  16","  39"," 178","  16","  48","  17","   9","  55","  20"," 354","  11"," 105","   6","   9","  16","   5","  30","  14","  51","  42","  10","   5","  34","1153","   2","  96","  33","  13","  18","   8","  41","   9","  20","  42","  26","  17","  32","   4","  67","  16","  50","  13","   5","   3","   9","   1","  29","   5"," 163","   2","   7","   5"," 129","  12"," 254","   3","  30"," 295","  96","  72","   8","  20","  40","  16","   5","  24","  38","   3","  10","   7","   2","   8","  44","  19","  17","  11","  31","   8","  59","  83","  10","  22","  16","  13","   8","   7","   3","   7","   9","   7","  11","   3","  43","   3","   4","  19","  26","   8","   2","   6","  11","  17","   1","  41","   4","   6","   6","  19","   4","  70","   1","  15","  16","  51","   1","  49","  12","   3","  21","   0","  94","  22","  28","  33","  19","  10","  15","   9","   4","  54","  37","   5","  73","  35","   8","  77","  12"," 147","  36","  78","  27","  11","   3","   0","  61","  14","   6","   4","  18","  10","   5","   2","  17","  21","  47","  59","  27"," 107","   2","   4","  21","  30","  24","   4","  52","   9","  17","   4","  18"
"MUC17","   0","   1","   4","   2","   0","   0","   0","   6","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   1","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  66","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  10","   0","   1","   1","  13","   0","   0","   0","   3","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   1","   0","   0","  12","   0","   1","   1","   3","   0","   0","   0","   1","   0","   0"," 864","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","   6","   0","   0","   0","   1","   6","   2","   0","   0","   1","   0","   0","   0","  60","   3","   0","   1","   1","   1","   0","   1","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   4","1623","   4","   1","   4","   1","   0","   2","   0","   0","   0","   0","   2","   0","   0","   2","   1","   0","   1","   1","   0","   3","   0","   0","   0","   0","   1","   0","   0","   0","  28","   0","   0","   0","   0","   0","   8","8390","   0","   8","   0","   3","   0","   0","   1","   1","   4","   1","   0","   0","   0","   1","   1","   4","   1","   2","   0","   0"
"KRT75","   28","   85","    2","    0","   15","    0","    3","    5","   31","    0","    2","    1","    1","    0","    0","    0","    0","   18","    1","   18","    0","    0","    0","    3","    7","    0","    5","    5","    0","    0","    0","  305","    0","    0","  127","    8","    2","   77","   10","  104","    3","    0","   11","    1"," 1211","    0","  206","    4","   13","    0","    3","    2","    2","    0","   10","   12","  197","   10","    0","    4","   14","    0","    6","    0","    1","    0","    3","    1","    0","    0","    0","    0","    1","    1","    4","   51","    0","    4","    0","    0","    1","    1","    1","    4","    0","    0","    0","    0","    1","    0","    0","   65","    1","    0","    1","    0","    0","    0","    2","    1","    4","    2","  842","    0","    4","    0","    2","    0","    0","    1","   30","   11","    1","10677","    1","    0","    0","    4","  305","    1","    3","    6","    1","    0","    0","    3","    1","   28","    0","   23","  473","    4","  556","   43","    0","    0","    0","    3","  107","    8","    0","   11","    0","  326","    0","    4","    3","   10","    0"," 2057","    1","   11","    1","    1","   24","    1","    1","    0","   46","    1","    3","    2","    0","    3","    0","  142","    3","    0","   22","    1","   13","    0","    0","    0","    0","    8","    0","   10","    5","    0","  169","    0","    0","    0","    1","    1","    0","    1","    2","    0","    1","    0","   14","    3","    0","    0","    5","   10","    1","   67","    0","    0","   14","    0","    1","    0","    7","    0","    1","  793","    5","    3","    0","    4","    0","    0","    0"
"SYCE1","  1","  3","  3","  1","  1","  0","  0","  1","  0","  0","  0","  8","  1","  7","  0","  7","674","  4","  1","  1","  1","  2","  5"," 98","  0","157","  0","  0"," 10"," 15","  3","  3"," 14","  4","  0","  2","  1","  0","  2","  1","  5","  0","  3","  3","  1","138","  2","  0","  1","113","  0","  4","  0","  3","  5","  7"," 82","  0"," 10","  8","  1","  0","  0","  2","  0","  1","  1"," 18","  5","  0","  6","  0","  2","  0","  3","  0","  0","  0","  6","  1","  0","  0"," 11","  1","  0","  0","  1","  2","  0","  0","  2","  6","  4","  1"," 10","  0","  1","  4","  3","  0","  1","  0","  1","289","407","  1","  3","130","  1"," 10","  2","  0","  1","  1","  1","  1","  0","  1","  0","  9","  2","  0","  2","  2","  5","  0","  1","  1","  1","  3","  1","  8","  4","  2","  0","  0","  4","  3"," 78","  1","  0","  0","  6","  0","  3","  1","  1","  2","  3"," 11","  0","  3","  0","  1","  2"," 85","  3","  2","  0","  0","  1","  3","  0","  0","  0","  0","  7","  1","  2","  4","  3","  3","  0","  0","  0","  0","  4","  3","  3","  0","  1","  2","  0","  2","  1","  4","  0","  5","  3","  3","  2","  0"," 20"," 10","  0","  4","  4","  1","  1","  0","  1","  6","  1","  0","  2","  0","  0","  0","  0","  1","  4","  8","  2","  1","  5","  3","  0"
"ZNF556"," 30","  1","  2","  0","  3","  4","  2","  6","  6","  1","  2","215","  2","  3","  1","  9"," 20","  5","  3","117","  8","  3","627","  3","  1","  8","  0","  2","  0"," 10","  4","120","  1","  6","  5","  7","  2","  3"," 11","  7","  4","  4","  2","  1","  1","  5","  2","  1"," 10","105","  6","  5"," 19","  4","  0","  7","  1","  2","  4","  5","  2","  3","  4","  8"," 20","  1","  5","  8","  7","  0","  5","  8","  2","  2"," 92"," 60","  0","  3","  7","  4","  8"," 36"," 14","  4","  3","  3","  7","157","  9","  2","227","  0"," 40","  4","  9","  5"," 11"," 10","  1","  1","  3","  2","  5","  1"," 35","  2","  5","284","  2","  2"," 11","  3"," 15","  1","  7","  6","  4","  5"," 17","  4","  6","  7","  7","  2","  2","  2","493"," 56","  3","  7","  2","  3","  6","  1","  2","  6","  1","  4"," 17","  2","  1","  5","  7"," 15"," 34","  1","  0"," 13","  1","  1","  6","  4","  0","  3","  3","  7","  4","  2","  0","  8","  4","  8","  3","  3","  6","  2","  4","  3","  2","  2","  8","  0","  3","  1","  1","  3","  2"," 10","  5","  1","  9","  3","  0","  4","  7","  4"," 48","  8","  7"," 18","  3","  0","  4","  1","  1","  0","  3","  3","  5","  1","  1"," 13","  3","  6","  5","  5","  4","  4","  0","  2"," 13","  1","  6","  5","  3","  5","  0"
"OLIG3","  0","  0","  0","  0","  1","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0"," 58","  2","  1","  0","  0","  0"," 32","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 94","  0","  0","  0","  0","  0","  0","  0","  0","  1","  4","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0"," 11","  0","269","  0","  0","  1","  0","  0","  0","  0","  0","  2","  0"," 13","  0","313","  0","  0","  0","  6","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 77","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  2","  7","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  1","  0","  1","  0","  0","  0","  0","  0","  0","  0","  5","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  6","  1","  0","  0","  0","  1","  0","  1","  0","  0"," 10","  0","  0"
"ZFP42","1015","   0","   0","   0","   2","   2","  13","   0","   0","   0","   0","   3","   4","  30","   0","   0"," 648","   2","   0","   0","   0","   1","  77","   4","   2"," 962","   0","   3","   5","   0","   0","   1","  22","  68"," 274","   4","   0","   6","   3","   3","   1","   1"," 424","   2","   0","  25","   0","  10","   0","2310","   2","1495","  64"," 640","   0","   0","   1","   2","  51","   4","   0","   0","   0","   2","   1","  24"," 121","   0","   0","   3","   0","   4","   0","  52","   0","   1"," 567","   0","  19"," 125","   1","   0","  68","   0","   0"," 899","   0","   1","   0","   0","   1","   9"," 138","4004","  31","   3","  20","   0","   7","   1","   0","   1","   1"," 170","   1","   1"," 338","1145","   0","  10","   2","   0","   0","   3","   1","   1","   3","   0","   6","   1","   4","   0","   5","   0","   3","   1","1893","   0","   0","  41","   0","   1","   1","   2","   2"," 276","   2","1086","   2","  14","   6","   9","   0","   1","   2","   3","   1","   1"," 169","   8","   1","   6","  47","   0","   0","   1","   0","   3","   1","   2","   6","   0","   0","   0","   6","   0"," 229","  94","   4","   1"," 547","   1","   1","   0","  40","   1","   0","  10","   4"," 104","   1","  21"," 105","   0","   0","  19","   2","   0","   6","   2","   3"," 278","   3","   1","   0","   1","   5","   1","   1","   0","   2","   2","   2","   0","   3","   0"," 762","   4","   2","   1","  10","  19","   0","   1","   0","   2","   0"
"TEX19","   2","   0","   7","  12","   5","   1","   7","   7","   5","   1","   1","1636","  10","   0","   2","  32","  11","   1","   2","   0","   1","   0","  69","   3","   3","   4","  69","   0","5685","   1","   9","  10","   0","   0","   3","   2","   1","   8","   2","   0","   0","  17","   0","  17","   0","   0","   1","   0","   3","  27","   0","   0","   6","  23","   0","   0","   1","   1","   3","   5","   9","   3","   2","   2","   3","  17","  36","   3","  26","   0","   6","   2","   4","   4"," 617","   0","   3","   2","   4","   7","  10","   0","  28","   2","   2","   1","   8"," 315","  14","   1","   8","   0","   9","   0","   0","   0","  13","   2","   1","   0","   3","   4","   0","   2","   0","  13","   1"," 472","   4","   0","   1","   6","   6","   0","   0","   3","   2","   0","   0","   7","   0","   0","   9","   6","  41","   1","1420","   5","  30","   0","   2","   0","   1","   0","   4","   1","   0","   5","   7","   1","   3","   1"," 378","   0","   1","   2","   0","   4","   5","   1","   6","   1","   4","   1","   0","   4","   1","   1","   0","   9","   0","   4","   0","   1","   8","   0","   2","   1","   1","   2","   4","   2","   2","  13","   1","   0","   0","   1","   2","   2"," 308","   3","   6","   1","   0","   0","  67","   5","   0","  48","   8","   0","  17","   3","   0","   3","   0","   0","   0","   5","   0","  45","   3","   0","   9","  18","   0","   1","  13","   0","  12","   0","   1","   4","   5","   0","   0"
"POU3F2","    4"," 2775"," 4816","    5","    1","  212","12995","    3","  133","    2","    5","    1","    6","    1","  223","    0","  312","    8","    0","    1","    4","    2","    2","   31","  206","   31","  801","  147","    5","   75","    8"," 2532","  863","   10"," 1455","    1","   29","  182","  824","  734","    2","    0","    1","   11","   75","   41","   24","    1","  166","    3","    0","    7","    1","   17","    1","   13","  740","   98","    3","  106","    1","  302","    0","    2","    2","   91","    2","    4","    0","    0","  130","    1","    2","    6","    0","  473","    3","14618","    3","    2","    1","    1","  651","  113","    1","    6","    0","    3","    0","    2","    9","   73","    1","    0","    6","    4","    0","    2","    6","    3","   92","  473","  380","   13","    7","   22","    1","   27","    0","    3"," 1403","  706","    0","    3","    3","   13","    8","   66","    0","   10","  208","   20","    1","    0","   47","    2","  113","    2","   83","   44","    8","    5","   12","    2","    0","   11","    3","    4","    4","    3","    8","    4","    5","  355","    0","    1","    1","    6","    1","   83","    3","  114","    0","    0","    5","  112","  104","   48","   25","   28","    2","    2","    1","   22","   10","  112","   11","    8","    9","  201","  140","    0","   11","  222","    2","  509","    0","    7","   28","   13","   17","    6","    4","    0","    3","    4","    3","    6","  339","    7","    3","    2","    3","  146","    6","    3","    3","   14","   68","   21","    3","   66","  324","   11","  165","   13","    3","   46","    1","    9","    3","    1","  155","   75","   17","    0","  995"
