"","logFC","logCPM","PValue","FDR","group","genesymbol","adj.P.Val"
"ZBTB2",-0.0231369406571234,4.42850644400599,0.683601500395637,0.87982224759627,"High vs Low","ZBTB2",0.87982224759627
"XXbac.BPG181M17.5",-0.0875508296198368,-2.92247256412313,0.683685470774876,0.87982224759627,"High vs Low","XXbac.BPG181M17.5",0.87982224759627
"TP53TG5",-0.0440396100287266,-0.2375456619063,0.683706357965872,0.87982224759627,"High vs Low","TP53TG5",0.87982224759627
"PLTP",0.0561747468768788,7.60273138396568,0.683743941447156,0.87982224759627,"High vs Low","PLTP",0.87982224759627
"LYAR",0.0342088169477281,4.24844167512398,0.683802935023125,0.87982224759627,"High vs Low","LYAR",0.87982224759627
"REL",-0.0443212185416872,4.13817838971196,0.68387709683224,0.87982224759627,"High vs Low","REL",0.87982224759627
"SLC10A3",-0.031310926760412,5.58598004872379,0.683909608704628,0.87982224759627,"High vs Low","SLC10A3",0.87982224759627
"C2orf15",0.0498285394271751,-0.878250135341385,0.683946150413867,0.87982224759627,"High vs Low","C2orf15",0.87982224759627
"ZNF470",0.0396919651371831,2.95125715957342,0.684052076472112,0.87982224759627,"High vs Low","ZNF470",0.87982224759627
"ZNF235",0.0346241790321501,1.95590576664007,0.684062187031204,0.87982224759627,"High vs Low","ZNF235",0.87982224759627
"RAC1",0.0285696166143049,8.59595637959463,0.68406774001526,0.87982224759627,"High vs Low","RAC1",0.87982224759627
"GOLGA1",0.0237725667243034,4.99440384726757,0.684112312525589,0.87982224759627,"High vs Low","GOLGA1",0.87982224759627
"NRG1",0.0823045466247192,1.9027797992218,0.684212024063375,0.87982224759627,"High vs Low","NRG1",0.87982224759627
"LMOD2",-0.111008174665433,-4.05150306660843,0.68425389370036,0.87982224759627,"High vs Low","LMOD2",0.87982224759627
"RP11.87C12.2",-0.055036468160664,-1.97433435257286,0.68432030219832,0.87982224759627,"High vs Low","RP11.87C12.2",0.87982224759627
"ATG16L2",0.0554489737597851,5.0083935076743,0.684384633473998,0.87982224759627,"High vs Low","ATG16L2",0.87982224759627
