"","logFC","AveExpr","t","P.Value","adj.P.Val","B","group","genesymbol"
"TBPL1",-0.100778731053465,2.79965239576677,-0.563667051986329,0.57356612813471,0.898492214061633,-5.13574471333909,"High vs Low","TBPL1"
"THUMPD3",-0.167545360761813,6.72875698962138,-0.5632722690042,0.57383440473708,0.898698397050214,-5.1359078586301,"High vs Low","THUMPD3"
"NIFK",-0.585542111727133,17.6659102129596,-0.563240271932091,0.573856151117959,0.898698397050214,-5.13592107653036,"High vs Low","NIFK"
"POLD3",-0.142443553196758,4.58228980253406,-0.563098228387487,0.573952693854238,0.898698397050214,-5.13597974528658,"High vs Low","POLD3"
"OCRL",0.31405384174726,9.5305739449141,0.563072822440067,0.573969962331309,0.898698397050214,-5.1359902372422,"High vs Low","OCRL"
"FAAH",-0.437320768426988,9.72830463820217,-0.563071234468237,0.573971041687404,0.898698397050214,-5.1359908930151,"High vs Low","FAAH"
"APCDD1L",-0.189613148620952,0.718271750489511,-0.562872426466201,0.574106180591365,0.898808645034883,-5.13607297872119,"High vs Low","APCDD1L"
"NIPA1",-0.122370730349167,3.68235284919855,-0.562806812847073,0.574150784503186,0.898808645034883,-5.136100063547,"High vs Low","NIPA1"
"KCP",0.100673587289909,0.665167739565087,0.562629602205598,0.57427125994315,0.898911658033632,-5.13617319909273,"High vs Low","KCP"
"FCGR3A",-2.31831623975843,38.9058534677871,-0.562283063356998,0.574506886825052,0.898988036908485,-5.13631615076221,"High vs Low","FCGR3A"
"SRCAP",0.335100406499793,13.9032375709964,0.5621701737057,0.574583655371869,0.898988036908485,-5.13636270022642,"High vs Low","SRCAP"
"C11orf30",-0.0564922784680637,1.9358560807592,-0.562158509669642,0.574591587565286,0.898988036908485,-5.13636750930062,"High vs Low","C11orf30"
"PPARG",-0.247542894409461,3.78480216228448,-0.561964684532277,0.574723407078498,0.898988036908485,-5.13644740872277,"High vs Low","PPARG"
"PIK3CD",0.24421717852077,5.85469970594487,0.561879759999818,0.574781168369708,0.898988036908485,-5.13648240802581,"High vs Low","PIK3CD"
"NSUN7",-0.10434316885231,2.64427974254132,-0.561831199194356,0.574814198170055,0.898988036908485,-5.13650241865379,"High vs Low","NSUN7"
"DMKN",0.375110655321123,6.35610326584219,0.561633926076141,0.57494838752357,0.898988036908485,-5.13658369198805,"High vs Low","DMKN"
"AHCY",1.71606979443707,44.8124484703521,0.561621640247269,0.574956745098017,0.898988036908485,-5.13658875261021,"High vs Low","AHCY"
"FOXD1",-0.195059515913358,0.713029631353293,-0.561557503510733,0.575000375779795,0.898988036908485,-5.13661516920715,"High vs Low","FOXD1"
"SLC16A13",-0.178294034242634,3.91293982449845,-0.561491286338635,0.575045423385891,0.898988036908485,-5.13664243953901,"High vs Low","SLC16A13"
"SREK1",-0.12025592952224,3.78656200085207,-0.561481614831966,0.575052003061843,0.898988036908485,-5.13664642230405,"High vs Low","SREK1"
"ARHGDIG",-0.0328933499223885,0.141228146794362,-0.56136495600358,0.575131370695259,0.898988036908485,-5.13669445749103,"High vs Low","ARHGDIG"
"LRRC61",0.28714774618095,7.45224812716935,0.561284240714477,0.575186287563583,0.898988036908485,-5.13672768682355,"High vs Low","LRRC61"
"FATE1",0.0209586761920479,0.295104788929781,0.561064464702218,0.575335830871575,0.898988036908485,-5.1368181413428,"High vs Low","FATE1"
"WDR20",-0.0693432025891574,3.06817102253111,-0.561027228773519,0.575361169336432,0.898988036908485,-5.13683346325876,"High vs Low","WDR20"
"MAP3K4",0.104762278278997,3.24111863748318,0.560974344949567,0.575397156860951,0.898988036908485,-5.13685522226138,"High vs Low","MAP3K4"
"ADCY4",0.0699232251793804,1.27828208678364,0.560973048701368,0.575398038973316,0.898988036908485,-5.13685575557591,"High vs Low","ADCY4"
"DYNC1LI2",0.35452423343442,12.7723180068898,0.560956813156727,0.575409087509658,0.898988036908485,-5.13686243525103,"High vs Low","DYNC1LI2"
"FCN3",0.616116465208102,5.44884858830721,0.560864455955243,0.575471939917561,0.898988036908485,-5.1369004294559,"High vs Low","FCN3"
"SDS",0.468093422686885,3.89608167686023,0.560846886553268,0.575483896899294,0.898988036908485,-5.13690765650779,"High vs Low","SDS"
"CDYL",-0.222000259660336,7.73697277094922,-0.560794211982999,0.575519745661877,0.898988036908485,-5.13692932247586,"High vs Low","CDYL"
"IL27RA",0.683581470292685,14.0093869016245,0.560789527643866,0.575522933736694,0.898988036908485,-5.13693124912796,"High vs Low","IL27RA"
"OSGIN2",0.39202419253831,8.32064265831705,0.560682988395337,0.575595444652614,0.89901589255992,-5.1369750640142,"High vs Low","OSGIN2"
"GPX1",9.14721867096998,202.298458815923,0.560492319982343,0.575725224964038,0.899030447656259,-5.13705345680504,"High vs Low","GPX1"
"HMCES",-0.563894079614268,20.0334191557048,-0.560409215971178,0.575781794872354,0.899030447656259,-5.13708761647698,"High vs Low","HMCES"
"GCSAM",-0.0398476390398806,0.76811167910353,-0.560314854668026,0.575846030960142,0.899030447656259,-5.13712639730916,"High vs Low","GCSAM"
"RUFY3",-0.152029630205512,4.43102135655922,-0.560282462043973,0.575868082897767,0.899030447656259,-5.13713970860649,"High vs Low","RUFY3"
"PANX1",-0.266883206754315,8.78300946106101,-0.560267662600528,0.575878158053504,0.899030447656259,-5.13714578997632,"High vs Low","PANX1"
"MUC21",-2.98278470081434,22.640855944477,-0.560026805165961,0.576042140604837,0.899201070523568,-5.13724474033115,"High vs Low","MUC21"
"LTBR",0.951785294374655,24.6053505042956,0.559859287098425,0.576156204726046,0.899293745785613,-5.13731353601582,"High vs Low","LTBR"
"PRKCA",-0.273567975479911,3.58178056984531,-0.559713104256487,0.576255750325002,0.89932899683137,-5.13737355307626,"High vs Low","PRKCA"
"SBDS",-1.35141404306724,44.8208162137479,-0.559604239823928,0.57632988865074,0.89932899683137,-5.13741823848658,"High vs Low","SBDS"
"SLC26A11",0.253710136666334,5.74102957993394,0.559571252548956,0.576352354378636,0.89932899683137,-5.13743177701119,"High vs Low","SLC26A11"
"CENPA",0.284928352769331,3.40211396782662,0.559452074778698,0.576433522941563,0.89932899683137,-5.13748068291834,"High vs Low","CENPA"
"SPATA17",-0.0470857727653043,0.599299992457485,-0.559411685333797,0.576461032266478,0.89932899683137,-5.137497254816,"High vs Low","SPATA17"
"MEX3B",0.0629913057158424,1.25224884283841,0.559147904999528,0.576640708868004,0.89932899683137,-5.13760545528043,"High vs Low","MEX3B"
"KIF13A",-0.217306061084605,5.86400285400106,-0.559132575124949,0.576651151782288,0.89932899683137,-5.13761174190213,"High vs Low","KIF13A"
"SFTPA2",-192.956613592601,1545.56756440174,-0.559128247711523,0.576654099690073,0.89932899683137,-5.1376135164982,"High vs Low","SFTPA2"
"MAML1",0.145413722065364,5.50385361454281,0.559103346819283,0.576671062741341,0.89932899683137,-5.13762372764971,"High vs Low","MAML1"
"RGS12",0.100595721238341,2.76714469198485,0.558949841577003,0.576775639217716,0.899353552524868,-5.13768666580115,"High vs Low","RGS12"
"MNAT1",-0.179980622748607,4.50387653384189,-0.558919654342418,0.57679620553307,0.899353552524868,-5.13769904073833,"High vs Low","MNAT1"
"CHEK2",0.238740873327849,4.0843191414355,0.558629178867146,0.576994121881001,0.899576839746579,-5.13781808405175,"High vs Low","CHEK2"
"WASH1",0.138897967903253,3.08916977581028,0.55831217520857,0.577210150055479,0.899762880631181,-5.13794792884425,"High vs Low","WASH1"
"SBSN",0.194097987708355,0.649849690766478,0.558293472545986,0.57722289653921,0.899762880631181,-5.13795558716636,"High vs Low","SBSN"
"PRC1",0.37711855269198,6.04829643414434,0.558036621113303,0.577397962800758,0.899830507271938,-5.13806073622447,"High vs Low","PRC1"
"MAN1A1",1.060345252581,15.6362076299221,0.557921220618477,0.577476626323551,0.899830507271938,-5.13810796283218,"High vs Low","MAN1A1"
"YLPM1",-0.158613779173062,5.53873903499203,-0.557884675207102,0.577501538808154,0.899830507271938,-5.13812291668199,"High vs Low","YLPM1"
"CCDC17",-0.274318762877387,1.99300949024802,-0.557848853998698,0.57752595810844,0.899830507271938,-5.13813757325138,"High vs Low","CCDC17"
"ARL2BP",-0.10020255756845,3.65669778924081,-0.557469959325351,0.577784280391479,0.899830507271938,-5.13829254399916,"High vs Low","ARL2BP"
"TARBP1",0.281023622492134,7.18035300751912,0.557392950341171,0.577836790164247,0.899830507271938,-5.13832402842017,"High vs Low","TARBP1"
"TNFSF10",-3.39633841442738,45.3467683268591,-0.557346508875437,0.577868458092487,0.899830507271938,-5.13834301349517,"High vs Low","TNFSF10"
"SEPT6",0.303241522659583,8.25090044656908,0.557326959562733,0.577881788801231,0.899830507271938,-5.13835100470025,"High vs Low","SEPT6"
"PARP14",-0.692379163738515,17.8087581662957,-0.557180876194221,0.577981407904655,0.899830507271938,-5.13841071060103,"High vs Low","PARP14"
"SYF2",-0.279365391568639,15.8081142994212,-0.557164714896104,0.577992429330671,0.899830507271938,-5.1384173149456,"High vs Low","SYF2"
"CAPN9",-0.498354855626902,3.89546318707804,-0.557113925264933,0.578027066686659,0.899830507271938,-5.13843806898061,"High vs Low","CAPN9"
"CHAT",-0.0382727268656791,0.114436272199687,-0.557108898172894,0.578030495100856,0.899830507271938,-5.13844012308562,"High vs Low","CHAT"
"AKAP10",-0.151499802716853,6.16516426091783,-0.556898147843236,0.578174232868234,0.899830507271938,-5.13852622053104,"High vs Low","AKAP10"
"ZNF226",0.073079141900688,2.42069677167109,0.556569114026584,0.578398677202596,0.899830507271938,-5.13866057521751,"High vs Low","ZNF226"
