"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logFC","group","genesymbol","adj.P.Val"
"DNMBP",1898.94340216117,-0.196731363578765,0.0877154833281915,-2.24283508582727,0.0249074510339479,0.231533062527845,-0.136363789992335,"High vs Low","DNMBP",0.231533062527845
"RAB11FIP2",942.270354865756,-0.0301669350397917,0.073375378953412,-0.411131573970413,0.680976059084018,0.885123996669411,-0.0209101259689666,"High vs Low","RAB11FIP2",0.885123996669411
"CXCL12",1881.86064996151,0.0430841100083587,0.143276701677271,0.300705624180303,0.763638979701935,0.92141026168037,0.0298636293792284,"High vs Low","CXCL12",0.92141026168037
"ERLIN1",2522.25259016083,-0.150868643943191,0.0758944715132982,-1.98787396413659,0.0468256308932122,0.309728835707582,-0.104574175184125,"High vs Low","ERLIN1",0.309728835707582
"EIF3A",11755.1987590055,-0.000531841985401403,0.0779875666212716,-0.00681957404805524,0.994558809331042,0.998487976986229,-0.000368644772684359,"High vs Low","EIF3A",0.998487976986229
"PKD2L1",64.4884068918971,-0.0806224515987425,0.197921998247725,-0.407344571662182,0.683754930856764,0.886502605660574,-0.055883225015499,"High vs Low","PKD2L1",0.886502605660574
"CUBN",118.543888172178,-0.0763932876387221,0.125150356448372,-0.610412065987496,0.541588877268555,0.815102270933514,-0.0529517919404852,"High vs Low","CUBN",0.815102270933514
"TRDMT1",329.547832208689,-0.0673057933348865,0.0846259700494614,-0.795332606474682,0.426420051208903,0.750585917973205,-0.0466528208854269,"High vs Low","TRDMT1",0.750585917973205
"DDX50",1882.50284801387,-0.0491917747323234,0.059100130228558,-0.832346300119543,0.405213503541994,0.737147172892793,-0.0340971399624499,"High vs Low","DDX50",0.737147172892793
"MAPK8",1573.2041049316,0.0686509400610056,0.0620551997311823,1.10628827815228,0.268601763722377,0.630305367917292,0.0475852055460758,"High vs Low","MAPK8",0.630305367917292
"SEC23IP",3137.72200974075,-0.0966299095624292,0.0580419972121467,-1.66482743881541,0.0959471880061458,0.40936112652728,-0.0669787493709603,"High vs Low","SEC23IP",0.40936112652728
"ATE1",1448.58251667839,-0.0563968782178704,0.0787989849987957,-0.715705642892891,0.47417312573851,0.77671613371598,-0.0390913371290994,"High vs Low","ATE1",0.77671613371598
"NSMCE4A",1323.12594942308,-0.02577260361744,0.0773153461544103,-0.33334395950279,0.738874660101476,0.912748243445067,-0.0178642075331176,"High vs Low","NSMCE4A",0.912748243445067
"PLEKHA1",2817.90012823154,-0.111695827348828,0.0823587623513373,-1.35621061026076,0.175032167076195,0.53156049633026,-0.0774216478071505,"High vs Low","PLEKHA1",0.53156049633026
"PALD1",908.478862474893,-0.0125321155031265,0.1135702296319,-0.110346835995182,0.912134314275148,0.973426305266746,-0.00868660052744378,"High vs Low","PALD1",0.973426305266746
"UNC5B",2319.10828671114,0.0428175369370482,0.118643058906101,0.360893737331365,0.718178885428416,0.902635765579194,0.0296788550064363,"High vs Low","UNC5B",0.902635765579194
"CDH23",303.539434770771,0.0180473234612878,0.151485546451641,0.1191356131593,0.905167916433112,0.971005707340899,0.0125094513738449,"High vs Low","CDH23",0.971005707340899
"C10orf54",2565.0496325182,0.115529903859649,0.0957208802827272,1.20694568957591,0.227453060363169,0.590765618500127,0.0800792271306775,"High vs Low","C10orf54",0.590765618500127
"SPOCK2",4224.31221438574,-0.0922803733718305,0.166452546388687,-0.554394482835633,0.579308901072767,0.835784821784325,-0.0639638806237034,"High vs Low","SPOCK2",0.835784821784325
"MICU1",3398.2804712063,-0.0555740386753716,0.0717046587788534,-0.775040835864922,0.438315529944333,0.757868839674497,-0.0385209882201632,"High vs Low","MICU1",0.757868839674497
"PPP3CB",2499.99508303319,-0.107923076326346,0.0584857153023014,-1.84528949964127,0.0649954371216613,0.350406175740449,-0.0748065760729624,"High vs Low","PPP3CB",0.350406175740449
"CCSER2",2760.74558513567,-0.0553426041826998,0.0856911144661932,-0.645838305726944,0.518384077515734,0.802760588618756,-0.0383605700540834,"High vs Low","CCSER2",0.802760588618756
"BMPR1A",1333.37164557946,-0.0938965438966981,0.0614866590927771,-1.52710433908952,0.126735068144913,0.46269682397019,-0.0650841246663194,"High vs Low","BMPR1A",0.46269682397019
